id,species,island,bill_length_mm,bill_depth_mm,flipper_length_mm,body_mass_g,sex,year,lista_longitud
1,Adelie,Torgersen,39.1,18.7,181.0,3750.0,male,2007,[181.   39.1]
2,Adelie,Torgersen,39.5,17.4,186.0,3800.0,female,2007,[186.   39.5]
3,Adelie,Torgersen,40.3,18.0,195.0,3250.0,female,2007,[195.   40.3]
4,Adelie,Torgersen,,17.151169590643274,,,,2007,[nan nan]
5,Adelie,Torgersen,36.7,19.3,193.0,3450.0,female,2007,[193.   36.7]
6,Adelie,Torgersen,39.3,20.6,190.0,3650.0,male,2007,[190.   39.3]
7,Adelie,Torgersen,38.9,17.8,181.0,3625.0,female,2007,[181.   38.9]
8,Adelie,Torgersen,39.2,19.6,195.0,4675.0,male,2007,[195.   39.2]
9,Adelie,Torgersen,34.1,18.1,193.0,3475.0,,2007,[193.   34.1]
10,Adelie,Torgersen,42.0,20.2,190.0,4250.0,,2007,[190.  42.]
11,Adelie,Torgersen,37.8,17.1,186.0,3300.0,,2007,[186.   37.8]
12,Adelie,Torgersen,37.8,17.3,180.0,3700.0,,2007,[180.   37.8]
13,Adelie,Torgersen,41.1,17.6,182.0,3200.0,female,2007,[182.   41.1]
14,Adelie,Torgersen,38.6,21.2,191.0,3800.0,male,2007,[191.   38.6]
15,Adelie,Torgersen,34.6,21.1,198.0,4400.0,male,2007,[198.   34.6]
16,Adelie,Torgersen,36.6,17.8,185.0,3700.0,female,2007,[185.   36.6]
17,Adelie,Torgersen,38.7,19.0,195.0,3450.0,female,2007,[195.   38.7]
18,Adelie,Torgersen,42.5,20.7,197.0,4500.0,male,2007,[197.   42.5]
19,Adelie,Torgersen,34.4,18.4,184.0,3325.0,female,2007,[184.   34.4]
20,Adelie,Torgersen,46.0,21.5,194.0,4200.0,male,2007,[194.  46.]
21,Adelie,Biscoe,37.8,18.3,174.0,3400.0,female,2007,[174.   37.8]
22,Adelie,Biscoe,37.7,18.7,180.0,3600.0,male,2007,[180.   37.7]
23,Adelie,Biscoe,35.9,19.2,189.0,3800.0,female,2007,[189.   35.9]
24,Adelie,Biscoe,38.2,18.1,185.0,3950.0,male,2007,[185.   38.2]
25,Adelie,Biscoe,38.8,17.2,180.0,3800.0,male,2007,[180.   38.8]
26,Adelie,Biscoe,35.3,18.9,187.0,3800.0,female,2007,[187.   35.3]
27,Adelie,Biscoe,40.6,18.6,183.0,3550.0,male,2007,[183.   40.6]
28,Adelie,Biscoe,40.5,17.9,187.0,3200.0,female,2007,[187.   40.5]
29,Adelie,Biscoe,37.9,18.6,172.0,3150.0,female,2007,[172.   37.9]
30,Adelie,Biscoe,40.5,18.9,180.0,3950.0,male,2007,[180.   40.5]
31,Adelie,Dream,39.5,16.7,178.0,3250.0,female,2007,[178.   39.5]
32,Adelie,Dream,37.2,18.1,178.0,3900.0,male,2007,[178.   37.2]
33,Adelie,Dream,39.5,17.8,188.0,3300.0,female,2007,[188.   39.5]
34,Adelie,Dream,40.9,18.9,184.0,3900.0,male,2007,[184.   40.9]
35,Adelie,Dream,36.4,17.0,195.0,3325.0,female,2007,[195.   36.4]
36,Adelie,Dream,39.2,21.1,196.0,4150.0,male,2007,[196.   39.2]
37,Adelie,Dream,38.8,20.0,190.0,3950.0,male,2007,[190.   38.8]
38,Adelie,Dream,42.2,18.5,180.0,3550.0,female,2007,[180.   42.2]
39,Adelie,Dream,37.6,19.3,181.0,3300.0,female,2007,[181.   37.6]
40,Adelie,Dream,39.8,19.1,184.0,4650.0,male,2007,[184.   39.8]
41,Adelie,Dream,36.5,18.0,182.0,3150.0,female,2007,[182.   36.5]
42,Adelie,Dream,40.8,18.4,195.0,3900.0,male,2007,[195.   40.8]
43,Adelie,Dream,36.0,18.5,186.0,3100.0,female,2007,[186.  36.]
44,Adelie,Dream,44.1,19.7,196.0,4400.0,male,2007,[196.   44.1]
45,Adelie,Dream,37.0,16.9,185.0,3000.0,female,2007,[185.  37.]
46,Adelie,Dream,39.6,18.8,190.0,4600.0,male,2007,[190.   39.6]
47,Adelie,Dream,41.1,19.0,182.0,3425.0,male,2007,[182.   41.1]
48,Adelie,Dream,37.5,18.9,179.0,2975.0,,2007,[179.   37.5]
49,Adelie,Dream,36.0,17.9,190.0,3450.0,female,2007,[190.  36.]
50,Adelie,Dream,42.3,21.2,191.0,4150.0,male,2007,[191.   42.3]
51,Adelie,Biscoe,39.6,17.7,186.0,3500.0,female,2008,[186.   39.6]
52,Adelie,Biscoe,40.1,18.9,188.0,4300.0,male,2008,[188.   40.1]
53,Adelie,Biscoe,35.0,17.9,190.0,3450.0,female,2008,[190.  35.]
54,Adelie,Biscoe,42.0,19.5,200.0,4050.0,male,2008,[200.  42.]
55,Adelie,Biscoe,34.5,18.1,187.0,2900.0,female,2008,[187.   34.5]
56,Adelie,Biscoe,41.4,18.6,191.0,3700.0,male,2008,[191.   41.4]
57,Adelie,Biscoe,39.0,17.5,186.0,3550.0,female,2008,[186.  39.]
58,Adelie,Biscoe,40.6,18.8,193.0,3800.0,male,2008,[193.   40.6]
59,Adelie,Biscoe,36.5,16.6,181.0,2850.0,female,2008,[181.   36.5]
60,Adelie,Biscoe,37.6,19.1,194.0,3750.0,male,2008,[194.   37.6]
61,Adelie,Biscoe,35.7,16.9,185.0,3150.0,female,2008,[185.   35.7]
62,Adelie,Biscoe,41.3,21.1,195.0,4400.0,male,2008,[195.   41.3]
63,Adelie,Biscoe,37.6,17.0,185.0,3600.0,female,2008,[185.   37.6]
64,Adelie,Biscoe,41.1,18.2,192.0,4050.0,male,2008,[192.   41.1]
65,Adelie,Biscoe,36.4,17.1,184.0,2850.0,female,2008,[184.   36.4]
66,Adelie,Biscoe,41.6,18.0,192.0,3950.0,male,2008,[192.   41.6]
67,Adelie,Biscoe,35.5,16.2,195.0,3350.0,female,2008,[195.   35.5]
68,Adelie,Biscoe,41.1,19.1,188.0,4100.0,male,2008,[188.   41.1]
69,Adelie,Torgersen,35.9,16.6,190.0,3050.0,female,2008,[190.   35.9]
70,Adelie,Torgersen,41.8,19.4,198.0,4450.0,male,2008,[198.   41.8]
71,Adelie,Torgersen,33.5,19.0,190.0,3600.0,female,2008,[190.   33.5]
72,Adelie,Torgersen,39.7,18.4,190.0,3900.0,male,2008,[190.   39.7]
73,Adelie,Torgersen,39.6,17.2,196.0,3550.0,female,2008,[196.   39.6]
74,Adelie,Torgersen,45.8,18.9,197.0,4150.0,male,2008,[197.   45.8]
75,Adelie,Torgersen,35.5,17.5,190.0,3700.0,female,2008,[190.   35.5]
76,Adelie,Torgersen,42.8,18.5,195.0,4250.0,male,2008,[195.   42.8]
77,Adelie,Torgersen,40.9,16.8,191.0,3700.0,female,2008,[191.   40.9]
78,Adelie,Torgersen,37.2,19.4,184.0,3900.0,male,2008,[184.   37.2]
